TransactionID,TransactionDate,CustomerID,AccountType,TransactionType,Category,SubCategory,Amount,Balance,Region,Age,Income,Channel
TXN_1047,2024-03-01,Cust_147,Savings,Credit,Investment,Mutual Funds,500,14328.9,West,35,74000,Online
TXN_1048,2024-03-02,Cust_148,Credit Card,Debit,Entertainment,Gaming,30,5582.81,East,61,118000,POS
TXN_1049,2024-03-03,Cust_149,Checking,Credit,Transfer,Internal Transfer,400,5982.81,North,28,51000,Branch
TXN_1050,2024-03-04,Cust_150,Savings,Debit,Fees,Overdraft Fees,25,14303.9,South,44,84000,Online
TXN_1051,2024-03-05,Cust_151,Credit Card,Credit,Rewards,Airline Miles,40,5622.81,West,39,71000,Online
TXN_1052,2024-03-06,Cust_152,Checking,Debit,Utilities,Home Insurance,95.5,5527.31,East,56,108000,Online
TXN_1053,2024-03-07,Cust_153,Savings,Debit,Shopping,Home Decor,180,14123.9,North,30,57000,Online
TXN_1054,2024-03-08,Cust_154,Credit Card,Debit,Food,Takeout,28.9,5498.41,South,47,87500,POS
TXN_1055,2024-03-09,Cust_155,Checking,Credit,Income,Salary,2500,7998.41,West,64,122000,Online
TXN_1056,2024-03-10,Cust_156,Savings,Debit,Utilities,Phone,60.1,14063.8,East,33,63000,Online
TXN_1057,2024-03-11,Cust_157,Credit Card,Debit,Entertainment,Event Tickets,120,7878.41,North,51,96000,POS
TXN_1058,2024-03-12,Cust_158,Checking,Debit,Shopping,Electronics,350,7528.41,South,26,46000,Online
TXN_1059,2024-03-13,Cust_159,Savings,Credit,Investment,Bonds,200,14263.8,West,40,80500,Online
TXN_1060,2024-03-14,Cust_160,Credit Card,Debit,Fees,Monthly Fees,7.99,7520.42,East,58,111000,Online
TXN_1061,2024-03-15,Cust_161,Checking,Credit,Transfer,External Transfer,150,7670.42,North,37,77000,Branch
TXN_1062,2024-03-16,Cust_162,Savings,Debit,Utilities,Cable,85.7,14178.1,South,66,128000,Online
TXN_1063,2024-03-17,Cust_163,Credit Card,Credit,Rewards,Gift Cards,25,7545.42,West,31,62000,Online
TXN_1064,2024-03-18,Cust_164,Checking,Debit,Food,Coffee,6.5,7538.92,East,45,85500,POS
TXN_1065,2024-03-19,Cust_165,Savings,Debit,Shopping,Books,30.2,14147.9,North,29,53000,Online
TXN_1066,2024-03-20,Cust_166,Credit Card,Debit,Entertainment,Movies,28,7517.42,South,55,101000,POS
TXN_1067,2024-03-21,Cust_167,Checking,Credit,Income,Salary,2500,10017.42,West,42,82000,Online
TXN_1068,2024-03-22,Cust_168,Savings,Debit,Utilities,Electricity,135.9,13972,East,60,117000,Online
TXN_1069,2024-03-23,Cust_169,Credit Card,Debit,Fees,Bank Fees,6,7511.42,North,33,68000,Online
TXN_1070,2024-03-24,Cust_170,Checking,Debit,Shopping,Online Shopping,92.8,7418.62,South,48,91000,Online
TXN_1071,2024-03-25,Cust_171,Savings,Credit,Investment,Dividends,150,14122,West,27,49000,Online
TXN_1072,2024-03-26,Cust_172,Credit Card,Debit,Entertainment,Concert,185,7233.62,East,51,97000,POS
TXN_1073,2024-03-27,Cust_173,Checking,Credit,Transfer,Internal Transfer,600,7833.62,North,38,78500,Branch
TXN_1074,2024-03-28,Cust_174,Savings,Debit,Fees,Service Fees,8,14114,South,69,135000,Online
TXN_1075,2024-03-29,Cust_175,Credit Card,Credit,Rewards,Cashback,18.5,7252.12,West,44,85200,Online
TXN_1076,2024-03-30,Cust_176,Checking,Debit,Utilities,Gas,95.2,7156.92,East,32,64000,Online
TXN_1077,2024-03-31,Cust_177,Savings,Debit,Shopping,Clothing,110,14004,North,53,102000,Online
TXN_1078,2024-04-01,Cust_178,Credit Card,Debit,Food,Groceries,78.6,7078.32,South,25,43000,POS
TXN_1079,2024-04-02,Cust_179,Checking,Credit,Income,Salary,2500,9578.32,West,49,89500,Online
TXN_1080,2024-04-03,Cust_180,Savings,Debit,Utilities,Rent,1800,12204,East,62,121000,Online
TXN_1081,2024-04-04,Cust_181,Credit Card,Debit,Entertainment,Tickets,95,6983.32,North,36,73000,POS
TXN_1082,2024-04-05,Cust_182,Checking,Credit,Transfer,External Transfer,250,7233.32,South,57,109000,Branch
TXN_1083,2024-04-06,Cust_183,Savings,Debit,Fees,ATM Fees,3.5,12190.5,West,30,59500,ATM
TXN_1084,2024-04-07,Cust_184,Credit Card,Credit,Rewards,Travel Points,35,7018.32,East,41,81200,Online
TXN_1085,2024-04-08,Cust_185,Checking,Debit,Utilities,Internet,82.1,6936.22,North,65,126000,Online
TXN_1086,2024-04-09,Cust_186,Savings,Debit,Shopping,Books,28.9,12161.6,South,34,72500,Online
TXN_1087,2024-04-10,Cust_187,Credit Card,Debit,Food,Fast Food,22.5,6913.72,West,28,50500,POS
TXN_1088,2024-04-11,Cust_188,Checking,Credit,Income,Salary,2500,9413.72,East,50,93500,Online
TXN_1089,2024-04-12,Cust_189,Savings,Debit,Utilities,Mobile,65.4,12096.2,North,39,79500,Online
TXN_1090,2024-04-13,Cust_190,Credit Card,Debit,Entertainment,Sports,62,6851.72,South,47,88000,POS
TXN_1091,2024-04-14,Cust_191,Checking,Debit,Shopping,Electronics,285,6566.72,West,23,39500,Online
TXN_1092,2024-04-15,Cust_192,Savings,Credit,Investment,Bond Interest,85,12181.2,East,63,123000,Online
TXN_1093,2024-04-16,Cust_193,Credit Card,Debit,Fees,Late Fees,42,6524.72,North,31,60500,Online
TXN_1094,2024-04-17,Cust_194,Checking,Credit,Transfer,External Transfer,350,6874.72,South,54,103000,Branch
TXN_1095,2024-04-18,Cust_195,Savings,Debit,Utilities,Water,52.8,12128.4,West,26,44500,Online
TXN_1096,2024-04-19,Cust_196,Credit Card,Credit,Rewards,Statement Credit,28,6552.72,East,40,82500,Online
TXN_1097,2024-04-20,Cust_197,Checking,Debit,Food,Restaurant,49.9,6502.82,North,59,114000,POS
TXN_1098,2024-04-21,Cust_198,Savings,Debit,Shopping,Furniture,520,11608.4,South,33,67500,Online
TXN_1099,2024-04-22,Cust_199,Credit Card,Debit,Entertainment,Streaming,18.5,6484.32,West,46,86500,Online
TXN_1100,2024-04-23,Cust_200,Checking,Credit,Income,Salary,2500,8984.32,East,29,55500,Online
