OrderID,Product,ProductCategory,ProductType,UnitPrice,QuantityOrdered,DiscountPercent,SalesAmount,ProfitAmount,CustomerAge,CustomerSegment,CustomerRating,OrderDate,OrderSeason,DeliveryTimeDays,StoreLocation,StoreType,Region,PaymentMethod,ShippingMode
ORD2080,Dishwasher,Home Goods,Appliance,400,1,0.05,380,114,52,Professionals,5,2024-08-20,Autumn,5,Online,Online,East,Online Payment,Standard
ORD2081,Sandals,Clothing,Footwear,45,2,0.1,81,24.3,75,Seniors,4,2024-09-01,Autumn,7,Downtown,Flagship,North,Credit Card,Standard
ORD2082,Iron,Home Goods,Appliance,80,1,0.15,68,20.4,33,Young Adults,3,2024-09-01,Autumn,2,Suburban,Mall,South,Debit Card,Express
ORD2083,Loafers,Clothing,Footwear,85,1,0,85,25.5,58,Professionals,2,2024-09-05,Autumn,4,Rural,Outlet,West,Cash,Standard
ORD2084,Vacuum Cleaner,Home Goods,Appliance,200,1,0.05,190,57,49,Professionals,4,2024-09-05,Autumn,6,Online,Online,East,Online Payment,Standard
ORD2085,Oxford Shoes,Clothing,Footwear,95,1,0.1,85.5,25.65,71,Seniors,5,2024-09-10,Autumn,3,Downtown,Flagship,North,Credit Card,Express
ORD2086,Dryer,Home Goods,Appliance,550,1,0.15,467.5,140.25,27,Young Adults,3,2024-09-10,Autumn,5,Suburban,Mall,South,Debit Card,Standard
ORD2087,Mules,Clothing,Footwear,65,2,0,130,39,42,Professionals,2,2024-09-15,Autumn,7,Rural,Outlet,West,Cash,Standard
ORD2088,Coffee Machine,Home Goods,Appliance,300,1,0.05,285,85.5,63,Seniors,4,2024-09-15,Autumn,2,Online,Online,East,Online Payment,Express
ORD2089,Pumps,Clothing,Footwear,78,1,0.1,70.2,21.06,35,Professionals,3,2024-09-20,Autumn,4,Downtown,Flagship,North,Credit Card,Standard
ORD2090,Mixer,Home Goods,Appliance,120,1,0.15,102,30.6,51,Professionals,5,2024-09-20,Autumn,6,Suburban,Mall,South,Debit Card,Standard
ORD2091,Rain Boots,Clothing,Footwear,50,2,0,100,30,73,Seniors,4,2024-10-01,Autumn,3,Rural,Outlet,West,Cash,Express
ORD2092,Juicer,Home Goods,Appliance,85,1,0.05,80.75,24.225,26,Young Adults,3,2024-10-01,Autumn,5,Online,Online,East,Online Payment,Standard
ORD2093,Ankle Boots,Clothing,Footwear,80,1,0.1,72,21.6,39,Professionals,2,2024-10-05,Autumn,7,Downtown,Flagship,North,Credit Card,Standard
ORD2094,Food Processor,Home Goods,Appliance,250,1,0.15,212.5,63.75,65,Seniors,4,2024-10-05,Autumn,2,Suburban,Mall,South,Debit Card,Express
ORD2095,Slippers,Clothing,Footwear,40,2,0,80,24,48,Professionals,5,2024-10-10,Autumn,4,Rural,Outlet,West,Cash,Standard
ORD2096,Slow Cooker,Home Goods,Appliance,95,1,0.05,90.25,27.075,28,Young Adults,3,2024-10-10,Autumn,6,Online,Online,East,Online Payment,Standard
ORD2097,Hiking Boots,Clothing,Footwear,110,1,0.1,99,29.7,53,Professionals,4,2024-10-15,Autumn,3,Downtown,Flagship,North,Credit Card,Express
ORD2098,Electric Kettle,Home Goods,Appliance,75,1,0.15,63.75,19.125,70,Seniors,3,2024-10-15,Autumn,5,Suburban,Mall,South,Debit Card,Standard
ORD2099,Snow Boots,Clothing,Footwear,120,1,0,120,36,31,Young Adults,2,2024-10-20,Autumn,7,Rural,Outlet,West,Cash,Standard
ORD2100,Rice Cooker,Home Goods,Appliance,70,1,0.05,66.5,19.95,41,Professionals,4,2024-10-20,Autumn,2,Online,Online,East,Online Payment,Express
